codice,mnemonico,descrizione,prezzo_eur,service,note,regime
12179,HLA1,HLA CLASSE I ( LOCI A - B - C )/40,350.00,40,sez. Genoma,privato
12332,HLAA,HLA CLASSE I ( LOCUS A )/40,160.00,40,sez. Genoma,privato
12333,HLAB,HLA CLASSE I ( LOCUS B )/40,160.00,40,sez. Genoma,privato
12334,HLAC,HLA CLASSE I ( LOCUS C )/40,160.00,40,sez. Genoma,privato
12342,HLADQB,HLA CLASSE II ( LOCUS DQB1 )/40,160.00,40,sez. Genoma,privato
12341,HLADR,HLA CLASSE II ( LOCUS DRB1 )/40,160.00,40,sez. Genoma,privato
12089,HLAP,HLA per morbo Celiaco ( Dq2-Dq8) /40,150.00,40,sez. Genoma,privato
Hpvtut,Hpvtut,Hpv Screening+Genotipizz. (Tutti I Tipi Virali)/40,75.00,40,sez. Genoma,privato
Hpv+tip,Hpv+tip,Hpv Screening+Genotipizzazione/40 (Non Usare),70.00,40,NON USARE; sez. Genoma,privato
10464,HUGI,HUNTINGTON/40,190.00,40,sez. Genoma,privato
1236589,Inter6,INTERLEUCHINA 6 In PCR (G-174C / G-634C)/40,120.00,40,sez. Genoma,privato
Intfr,Intfr,Intolleranza Genetica Al Fruttosio / 40,80.00,40,sez. Genoma,privato
Jak2,Jak2,JAK2 (Mutazione V617F) / 40,130.00,40,sez. Genoma,privato
12307,Men 1,Men 1 ( Neoplasia Endocrina Multipla Di Tipo 1)/40,280.00,40,sez. Genoma,privato
12502,MDCRY,MICRODELEZIONI CROMOSOMA Y/40,150.00,40,sez. Genoma,privato
Mthfr-2,Mthfr-2,MTHFR (Mutazione A1298C)/40,46.00,40,sez. Genoma,privato
Mthfr-1,Mthfr-1,MTHFR (Mutazione C677T) /40,46.00,40,sez. Genoma,privato
Betafib,Betafib,Mutazione Beta Fibrinogeno/40,50.00,40,sez. Genoma,privato
12194,BRCA2,MUTAZIONE TOT GENE BRCA2 /40,560.00,40,sez. Genoma,privato
12192,BRCA1,MUTAZIONE TOT. GENE BRCA1 /40,560.00,40,sez. Genoma,privato
MycoT-pcr,MycoT-pcr,Mycobacterium Tuberculosis (Real Time PCR) /40,90.00,40,sez. Genoma,privato
12329LS,MHPCRLS,MYCOPL. HOMINIS PCR (Liqu.Sem.)/40 NON USARE,46.00,40,NON USARE; sez. Genoma,privato
12327LS,MGPCRLS,MYCOPLASMA GENITALIUM PCR (Liquido Seminale)/40,46.00,40,sez. Genoma,privato
12327,MGPCRU,MYCOPLASMA GENITALIUM PCR (urina)/40,46.00,40,sez. Genoma,privato
Myco(pcr),Myco(pcr),Mycoplasma Hominis (PCR)/40,46.00,40,sez. Genoma,privato
12329,MHPCRU,MYCOPLASMA HOMINIS PCR (urina)/40,46.00,40,sez. Genoma,privato
2000036,Negpcr,Neisseria Gonorrhoeae (PCR) /40,46.00,40,sez. Genoma,privato
2052,Notch3,Notch3/40,900.00,40,sez. Genoma,privato
Oncorisk c,Oncorisk c,ONCO NEXT RISK - COMPLETE /40,900.00,40,sez. Genoma,privato
Oncorisk,Oncorisk,ONCO NEXT RISK /40,750.00,40,sez. Genoma,privato
PAI1,PAI1,PAI-1/40,46.00,40,sez. Genoma,privato
12605,Ptar5,Pann. Trombofilia Abortivita` Ric.(5)/40 NON USARE,180.00,40,NON USARE; sez. Genoma,privato
15000,15000,Pannello Epilessia/40,900.00,40,sez. Genoma,privato
160000008,Fans,Pannello Intero Risposta Ai Fans/40,580.00,40,sez. Genoma,privato
Risinf,Risinf,Pannello Nutrigenetica - Risposta Infiammatoria/40,130.00,40,sez. Genoma,privato
Pann3,Pann3,Pannello Ricerca Molecolare 3 Patogeni /40,100.00,40,sez. Genoma,privato
18000,Tbx5sall4,Pannello Tbx5 + Sall4/40,1.20,40,sez. Genoma,privato
12162,SPG3A,PARAPARESI SPAST.TIPO 3(STRUMPELL LORRAIN)/40,550.00,40,sez. Genoma,privato
12420,DPD,POLIMORFISMI DPD/40,148.00,40,sez. Genoma,privato
12547,PRPRS,PRELIEVO PRENATAL- SAFE/40,30.00,40,sez. Genoma,privato
Pren3,Pren3,Prenatal-Safe 3 /40,690.00,40,sez. Genoma,privato
12343,PRNSA,PRENATAL-SAFE 5/40,690.00,40,sez. Genoma,privato
Prencom,Prencom,PrenatalSafe complete Plus /40,1.30,40,sez. Genoma,privato
12384,PRMP,PRENATAL-SAFE E MAPPA CROMOSOM. GENITORI/40,1.20,40,sez. Genoma,privato
16012,Prekaryo,Prenatal-Safe Karyo Plus/40,890.00,40,sez. Genoma,privato
1700000,Presafe,Prenatal-Safe Plus +Pann.Microd+Trisomie 9 E 16/40,690.00,40,sez. Genoma,privato
12010,PSEN1,PSEN1 ( ALZHEIMER FAMILIARE )/40,280.00,40,sez. Genoma,privato
12011,PSEN2,PSEN2 ( ALZHEIMER FAMILIARE )/40,450.00,40,sez. Genoma,privato
13500,Vdr,Recettore Della Vitamina D ( Vdr )/40,138.00,40,sez. Genoma,privato
12188,TSC1 e 2,SCLEROSI TUBEROSA ( TSC1 e TSC2 )/40,900.00,40,sez. Genoma,privato
1900035,Jmc,Screening Mal. Mieloproliferat. (Jak2-Mpl-Carl)/40,860.00,40,sez. Genoma,privato
180000236,Flgtnf,Sensibilita` Al Nichel ( Flg - Tnf Alfa )/40,100.00,40,sez. Genoma,privato
1300000,Solfiti,Sensibilita` Ai Solfiti ( Suox - Cbs )/40,110.00,40,sez. Genoma,privato
Gilbert,Gilbert,Sindrome di Gilbert (gene UGT1A1) /40,180.00,40,sez. Genoma,privato
13109,Sod1,Sla : Sclerosi Laterale Amiotrofica ( Sod1 )/40,750.00,40,sez. Sofar Breath Test,privato
130005,Stress oss.,Stress Ossidat.-Antiaging( Polim.:Gstm1-E Altr)/40,140.00,40,sez. Sofar Breath Test,privato
20056,Suppl,Supplemento Campione Non Standard/40,70.00,40,sez. Sofar Breath Test,privato
12362,TBX5,TBX5 HOLT-ORAM/40,430.00,40,sez. Sofar Breath Test,privato
12142,GILB,TEST DI GILBERT/40,180.00,40,sez. Sofar Breath Test,privato
12277,TSCO,TEST DI Paternita` - USO INFORMATIVO/40,360.00,40,sez. Sofar Breath Test,privato
12083,PATU,TEST DI PATERNITA'-Urgenza/40,468.00,40,sez. Sofar Breath Test,privato
12067,smpd,Test Niemann Pick tipo A/B/40,1.10,40,sez. Sofar Breath Test,privato
1800023,Tpi12,Test Pat.Inf. Padre-Figlio1-Figlio2/40,550.00,40,sez. Sofar Breath Test,privato
12586,TPAT4,TEST PATERNITA' INF.( PADRE-FIGLIO 1-2-3 )/40,740.00,40,sez. Sofar Breath Test,privato
12413,TPPN,TEST PATERNITA' PRENATALE/40,1.80,40,sez. Sofar Breath Test,privato
Patern3,Patern3,Test Paternita` (Uso Informat.) Padre-Figlio1-2/40,500.00,40,sez. Sofar Breath Test,privato
Preecl,Preecl,Test Pre-Eclampsia /40,70.00,40,sez. Sofar Breath Test,privato
10244,TREP,TEST RICONOSC. PATERNITA'-USO LEGALE/50,680.00,50,sez. Sofar Breath Test,privato
12529,TOXODNA,TOXOPLASMA DNA /40,60.00,40,sez. Sofar Breath Test,privato
Tricomonas,Tricomonas,Tricomonas Vaginalis (PCR) /40,50.00,40,sez. Sofar Breath Test,privato
10261,12 PAN,TROMBOFILIA PAN. 15 MUTAZIONI/40,240.00,40,sez. Sofar Breath Test,privato
12027,PAN4M,TROMBOFILIA PAN. 4 MUT./40,100.00,40,sez. Sofar Breath Test,privato
12326LS,UUPCRLS,UREAPL. UREALYTICUM PCR (Liqu.Sem.)/40 NON USAR,46.00,40,NON USARE; sez. Sofar Breath Test,privato
Urea(pcr),Urea(pcr),Ureaplasma Urealiticum (PCR)/40,46.00,40,sez. Sofar Breath Test,privato
12326,UUPCRU,UREAPLASMA UREALYTICUM PCR (urina)/40,46.00,40,sez. Sofar Breath Test,privato
1234567890,VEGF,VEGF/40,75.00,40,sez. Sofar Breath Test,privato
12068,VHL,VHL VON HIPPEL LINDAU/40,360.00,40,sez. Sofar Breath Test,privato
12488,XFRA,X-FRAGILE ( FRAXA )/40,148.00,40,sez. Sofar Breath Test,privato
12489,XFRE,X-FRAGILE ( FRAXE )/40,148.00,40,sez. Sofar Breath Test,privato
10550L,10550L,BREATH TEST AL LATTULOSIO,86.00,70,sez. Sofar Breath Test,privato
10439,BRGLU,BREATH TEST GLUCOSIO/70,85.00,70,sez. Sofar Breath Test,privato
10551,BTLA,BREATH TEST LATTOSIO/70 ( Non Usare ),85.00,70,NON USARE; sez. Sofar Breath Test,privato
10550,BTHP,BREATH TEST RICERCA HP/70 (NON USARE),68.00,70,NON USARE; sez. Sofar Breath Test,privato
12381U,12381U,Deossipiridinoline (Urine) /70,45.00,70,sez. Varelli,privato
Hhv6 tot,Hhv6tot,Herpes Virus Tipo 6 (HHV6) Abs Total /70,40.00,70,sez. Varelli,privato
Hhv6m,Hhv6m,Herpes Virus Tipo 6 (HHV6) IgM /70,60.00,70,sez. Varelli,privato
17prg,17prg,17 ALFA IDROSSIPROGESTERONE /70,15.00,70,sez. Varelli,privato
3aandro,3aandro,3 Alfa Androstenediolo /70,20.00,70,sez. Varelli,privato
A.cell.par,A.cell.par,A.A. Cellule Parietali Gastriche /70,16.00,70,sez. Varelli,privato
CardioA,CardioA,Ab ANTI CARDIOLIPINA IgA /70,15.00,70,sez. Varelli,privato
CardioG,CardioG,Ab ANTI CARDIOLIPINA IgG /70,15.00,70,sez. Varelli,privato
CardioM,CardioM,Ab ANTI CARDIOLIPINA IgM /70,15.00,70,sez. Varelli,privato
Abcentro,Abcentro,Ab ANTI CENTROMERO /70,22.00,70,sez. Varelli,privato
Dnasi,Dnasi,Ab ANTI DNasi B /70,18.00,70,sez. Varelli,privato
Dna ds,Dna ds,Ab ANTI ds DNA /70,16.00,70,sez. Varelli,privato
INTR,INTRINS,Ab Anti Fattore Intrinseco / 70,50.00,70,sez. Varelli,privato
Antiinsuli,Antiinsuli,Ab Anti Insulina /70,23.00,70,sez. Varelli,privato
Leish,Leish,Ab Anti Leishmania D. (Tot.) /70,42.00,70,sez. Varelli,privato
Ama,Ama-,Ab ANTI MITOCONDRIO (IFA) AMA/70,20.00,70,sez. Varelli,privato
Anti-nucle,Anti-nucle,Ab ANTI NUCLEO (Ana) /70,15.00,70,sez. Varelli,privato
AAsperma,AAsperma,Ab Anti Spermatozoi (siero) /70,30.00,70,sez. Varelli,privato
AbHAVg,AbHAVg,Ab HAV IgG /70,17.00,70,sez. Varelli,privato
AbHAVm,AbHAVm,Ab HAV IgM /70,17.00,70,sez. Varelli,privato
Listerig,Listerig,Ab Listeria IgG /70,20.00,70,sez. Varelli,privato
Listerim,Listerim,Ab Listeria IgM /70,20.00,70,sez. Varelli,privato
Abacetil,Abacetil,Ab Recettore-Acetilcolina /70,36.00,70,sez. Varelli,privato
Indol,Indol,Ac. 5-OH Indoloacetico /70,28.00,70,sez. Varelli,privato
Vanilm,Vanilm,Ac. Vanilmandelico Urinario /70,25.00,70,sez. Varelli,privato
Ac.bilia,Ac.bilia,Acidi Biliari /70,10.00,70,sez. Varelli,privato
Ac.valpr,Ac.valpr,Acido Valproico /70,15.00,70,sez. Varelli,privato
Adeno G,Adeno G,Adenovirus IgG Abs /70,20.00,70,sez. Varelli,privato
Adeno M,Adeno M,Adenovirus IgM Abs /70,20.00,70,sez. Varelli,privato
Adipo,Adipo,Adiponectina /70,85.00,70,sez. Varelli,privato
adiure,Adiure,Adiuretina (ADH) /70,32.00,70,sez. Varelli,privato
Aldol,Aldol,Aldolasi /70,14.00,70,sez. Varelli,privato
AldoCLINO,AldoCLINO,ALDOSTERONE In Clinostatismo /70,25.00,70,sez. Varelli,privato
AldoORTO,AldoORTO,ALDOSTERONE In Ortostatismo /70,25.00,70,sez. Varelli,privato
Aldo uri,Aldo uri,Aldosterone Urinario /70,15.00,70,sez. Varelli,privato
ALEX,Alex,ALEX Test / 70 (NON USARE),250.00,70,NON USARE; sez. Varelli,privato
Antitrip,Antitrip,ALFA 1 ANTITRIPSINA /70,10.00,70,sez. Varelli,privato
F76,F76-,Alfa Lattoalbumina (F76) /70,20.00,70,sez. Varelli,privato
Alluminio,Alluminio,Alluminio Ematico /70,20.00,70,sez. Varelli,privato
Al uri,Al uri,Alluminio Urinario /70,24.00,70,sez. Varelli,privato
Brca1-2,Brca1-2,Analisi Geni BRCA1+ BRCA2 /70,500.00,70,sez. Varelli,privato
ANCA,ANCA,"ANCA (P-anca, C-anca) /70",22.00,70,sez. Varelli,privato
Beta2glico,Beta2glico,Anti Beta 2 Glicoproteina IgG/IgM /70,40.00,70,sez. Varelli,privato
BP 230,BP 230,Anti BP 230 Abs / 70,50.00,70,sez. Varelli,privato
BP 180,BP 180,Anti BP180 Abs / 70,50.00,70,sez. Varelli,privato
Antipancr,Antipancr,Anti Insula Pancreatica (IC) /70,12.00,70,sez. Varelli,privato
Lkma,Lkma-,ANTI MICROSOMI EPATICI REN.(LKMA)/70,12.00,70,sez. Varelli,privato
Asma,Asma,ANTI MUSCOLO LISCIO (ASMA) /70,15.00,70,sez. Varelli,privato
Enaprof,Enaprof,Anti-ENA (Profile) / 70,60.00,70,sez. Varelli,privato
EnaT,EnaT,Anti-ENA (Screening) /70,15.00,70,sez. Varelli,privato
Ta4,Ta4,ANTIGENE TA4 (SCC)/70,22.00,70,sez. Varelli,privato
Iston,Iston,Anti-Istoni Abs /70,25.00,70,sez. Varelli,privato
ApolipoA,ApolipoA,Apolipoproteina A /70,15.00,70,sez. Varelli,privato
Apo B,Apo B,Apolipoproteina B /70,8.00,70,sez. Varelli,privato
Arse,Arse,ARSENICO URINARIO /70,15.00,70,sez. Varelli,privato
Asca a,Asca a,ASCA IgA /70,24.00,70,sez. Varelli,privato
Asca g,Asca g,ASCA IgG /70,24.00,70,sez. Varelli,privato
M3asperg,M3asperg,Aspergillus Fumigatus (M3) /70,13.00,70,sez. Varelli,privato
Renorto,Renorto,ATTIVITA` RENINICA In Ortostatismo /70,25.00,70,sez. Varelli,privato
Renin,Renin,ATTIVITA` RENINICA In Clinostatismo /70,30.00,70,sez. Varelli,privato
Bartonella,Bartonella,Bartonella Henselae IgG /70,35.00,70,sez. Varelli,privato
Bartonell,Bartonell,Bartonella Henselae IgM /70,35.00,70,sez. Varelli,privato
Benze uri,Benze uri,Benzene Urinario /70,20.00,70,sez. Varelli,privato
Benzodiaze,Benzodiaze,BENZODIAZEPINE SIERICHE /70,50.00,70,sez. Varelli,privato
F77,F77-,Beta Lattoglobulina (F77) /70,20.00,70,sez. Varelli,privato
BIC SIER,BIC SIER,Bicarbonati Sierici / 70,5.00,70,sez. Varelli,privato
Bitest,Bitest,Bi-Test /70,0.00,70,sez. Varelli,privato
Borrelia G,Borrelia G,Borrelia Burgdoferii IgG /70,20.00,70,sez. Varelli,privato
Borrelia M,Borrelia M,Borrelia Burgdoferii IgM /70,20.00,70,sez. Varelli,privato
Bt-fru,Bt-fru,Breath Test FRUTTOSIO /70,85.00,70,sez. Varelli,privato
1800039,Btla2,Breath Test Lattosio/70,120.00,70,sez. Varelli,privato
C1 inib,C1 inib,C1 INIBITORE / 70,10.00,70,sez. Varelli,privato
C1q,C1 q,C1q Complemento/70,15.00,70,sez. Varelli,privato
C3 attivat,C3 attivat,C3 ATTIVATORE /70,15.00,70,sez. Varelli,privato
Ca 50,Ca 50,CA 50 /70,34.00,70,sez. Varelli,privato
CA 72-4,CA 72-4,CA 72-4/70,25.00,70,sez. Varelli,privato
Ca++,Ca++,CALCIO IONIZZATO /70,5.00,70,sez. Varelli,privato
Calcoli,Calcoli,Calcoli Urinari / 70,0.00,70,sez. Varelli,privato
Candida G,Candida G,CANDIDA A. IgG Abs /70,30.00,70,sez. Varelli,privato
Candida M,Candida M,CANDIDA A. IgM Abs /70,30.00,70,sez. Varelli,privato
Carbam,Carbam,Carbamazepina /70,15.00,70,sez. Varelli,privato
Cariot,Cariot,Cariotipo Da Sangue Periferico /70,100.00,70,sez. Varelli,privato
Cate siero,Cate siero,CATECOLAMINE SIERICHE /70,30.00,70,sez. Varelli,privato
Cate uri,Cate uri,Catecolamine Urinarie Totali /70,30.00,70,sez. Varelli,privato
Kurine,Kurine,Catene Leggere Kappa Urine /70,20.00,70,sez. Varelli,privato
L-urine,-urine,Catene Leggere Lambda Urine /70,20.00,70,sez. Varelli,privato
K-libere s,K-libere s,Catene Leggere Libere Sieriche /70,80.00,70,sez. Varelli,privato
Cerulopl,Cerulopl,CERULOPLASMINA SIERICA /70,15.00,70,sez. Varelli,privato
Chim-fis,Chim-fis,Chimico-Fisico Feci /70,10.00,70,sez. Varelli,privato
Cista,Cista,Cistatina C /70,45.00,70,sez. Varelli,privato
Cito avi,Cito avi,Citomegalovirus IgG Avidity /70,35.00,70,sez. Varelli,privato
Clampneu g,Clampneu g,CLAMIDIA Pneumoniae IgG /70,20.00,70,sez. Varelli,privato
Clampneu m,Clampneu m,CLAMIDIA Pneumoniae IgM /70,20.00,70,sez. Varelli,privato
10310,10310,CLAMIDIA Trachom. IgG /70,22.00,70,sez. Varelli,privato
10309,10309,CLAMIDIA Trachom. IgM /70,22.00,70,sez. Varelli,privato
Clam t a,Clam t a,Clamidia Trachomatis IgA/70,22.00,70,sez. Varelli,privato
Ch50,Ch50,Complementemia Totale (CH50) /70,32.00,70,sez. Varelli,privato
Copr,Copa,COPROCOLTURA /70,15.00,70,sez. Varelli,privato
Copr.Allar,Copr.Allar,COPROCOLTURA ALLARGATA /70,25.00,70,sez. Varelli,privato
COPR2,COPR2,Coproporfirine Urinarie /70,25.00,70,sez. Varelli,privato
Cort.sal,Cort.sal,Cortisolo Salivare /70,36.00,70,sez. Varelli,privato
Cortiuri,Cortiuri,Cortisolo Urinario /70,20.00,70,sez. Varelli,privato
Cox IgG,Cox IgG,Coxsackie IgG / 70,62.00,70,sez. Varelli,privato
Cox IgM,Cox IgM,Coxsackie IgM / 70,62.00,70,sez. Varelli,privato
C-peptide,C-peptide,C-PEPTIDE/70,20.00,70,sez. Varelli,privato
Crioglob,Crioglob,Crioglobuline /70,10.00,70,sez. Varelli,privato
Cromo,Cro,Cromo/70,20.00,70,sez. Varelli,privato
CromoA,CromoA,Cromogranina A /70,60.00,70,sez. Varelli,privato
Crom y mic,Crom y microdel,Cromosoma Y Microdelezione DNA / 70,120.00,70,sez. Varelli,privato
P1np,P1np,CROSS LAPS (P1NP + CTX) /70,120.00,70,sez. Varelli,privato
Ctx,Ctx,CTX Telopeptide C-Terminale /70,50.00,70,sez. Varelli,privato
Rame,Rame-,CUPREMIA /70,25.00,70,sez. Varelli,privato
Cupru,Cupru,CUPRURIA (Rame Urinario) /70,25.00,70,sez. Varelli,privato
CYFRA 21-1,CYFRA 21-1,CYFRA 21-1 /70,25.00,70,sez. Varelli,privato
Dao,Dao,DAO Test /70,90.00,70,sez. Varelli,privato
D4andro,D4andro,Delta 4 Androstenedione /70,20.00,70,sez. Varelli,privato
dhea,dhea ormone,DHEA /70,19.00,70,sez. Varelli,privato
DHT,DHT-,DHT - DIIDROTESTOSTERONE/70,30.00,70,sez. Varelli,privato
Digo,Digo,Digossina /70,8.00,70,sez. Varelli,privato
Disbiosi,Disbiosi,DISBIOSI TEST /70,49.00,70,sez. Varelli,privato
Dopau,Dopau,Dopamina Urinaria/70,22.00,70,sez. Varelli,privato
Citrt.urin,Citr.urin,Dosaggio Citrati Urinari / 70,36.00,70,sez. Varelli,privato
Ossal uri,Ossal uri,Dosaggio Ossalato Urinario /70,40.00,70,sez. Varelli,privato
Echi,Ech,Echinococco IgG /70,30.00,70,sez. Varelli,privato
Epf,Epf,Elastasi Pancreatica Fecale /70,50.00,70,sez. Varelli,privato
Enola,Enola,ENOLASE NSE/70,20.00,70,sez. Varelli,privato
Ace70,Ace70,Enzima ACE / 70,20.00,70,sez. Varelli,privato
Eritr,Eritr,Eritropoietina/70,30.00,70,sez. Varelli,privato
Citolog,Citolog,Es.Citologico Urinario (1-3 Campioni) /70,50.00,70,sez. Varelli,privato
Citoesp,Citoesp,Esame Citologico Espettorato /70,36.00,70,sez. Varelli,privato
Parasfeci,Parasfeci,Esame Parassitologico Feci /70,15.00,70,sez. Varelli,privato
Estriolo,Estriolo,Estriolo /70,15.00,70,sez. Varelli,privato
Eto,Eto,Etosuccimide/70,18.00,70,sez. Varelli,privato
Fatt II,Fatt II,Fattore II /70,25.00,70,sez. Varelli,privato
Fatt ix,fatt ix,Fattore IX Coagulazione /70,20.00,70,sez. Varelli,privato
Cambridge,Cambridg,Fattore V CAMBRIDGE (R306T) /70,120.00,70,sez. Varelli,privato
FattV,FttV,Fattore V Coagulazione /70,20.00,70,sez. Varelli,privato
Fatt vii,fatt vii,Fattore VII Coagulazione /70,20.00,70,sez. Varelli,privato
Fatt VIII,Fatt VIII,Fattore VIII /70,20.00,70,sez. Varelli,privato
Fatt X,Fatt X,Fattore X Coagulazione /70,20.00,70,sez. Varelli,privato
Fenit,Fenit,Fenitoina /70,15.00,70,sez. Varelli,privato
Fenoba,Fenoba,Fenobarbital /70,15.00,70,sez. Varelli,privato
Fe uri,Fe uri,Ferro Urinario /70,16.00,70,sez. Varelli,privato
fosfat. ac,Fosfatasi acida,Fosfatasi Acida / 70,5.00,70,sez. Varelli,privato
APosseo,APosseo,Fosfatasi Alcalina (Isoenzima Osseo) /70,25.00,70,sez. Varelli,privato
Gastrina,Gastrina,Gastrina /70,20.00,70,sez. Varelli,privato
Gastrop,Gastrop,Gastropanel /70,100.00,70,sez. Varelli,privato
GH ormone,GH ormone,GH /70,22.00,70,sez. Varelli,privato
G6pdh,G6pdh,Glucosio 6 Fosfato Deidrogenasi /70,15.00,70,sez. Varelli,privato
HPBT,HPBT,Helicobacter P. Breath Test /70,50.00,70,sez. Varelli,privato
HerpG,HerpG,HERPES 1/2 IgG /70,18.00,70,sez. Varelli,privato
HerpM,HerpM,HERPES 1/2 IgM /70,18.00,70,sez. Varelli,privato
Herpg2,Herpg2,HERPES GENITALIS-HSV2 IgG /70,18.00,70,sez. Varelli,privato
HPVT,HPVT,HPV Tipizzazione /70,0.00,70,sez. Varelli,privato
HTLV,HTLV,HTLV1/2 Abs Totali /70,50.00,70,sez. Varelli,privato
Idrossipro,Idrossipro,Idrossiprolinuria /70,40.00,70,sez. Varelli,privato
Secr,Secr,IgA Secretorie Totali /70,10.00,70,sez. Varelli,privato
C51,C51,IgE - Ac.Acetilsalicilico (ASA) /70,13.00,70,sez. Varelli,privato
C57,C57,IgE - Trimethoprim /70,13.00,70,sez. Varelli,privato
D2,D2,IgE Dermatoph.Farinae (D2) /70,13.00,70,sez. Varelli,privato
D1,D1,IgE Dermatoph.Pteronyss. (D1) /70,13.00,70,sez. Varelli,privato
GX2,GX2,IgE Mix Graminacee ( GX2) /70,0.00,70,sez. Varelli,privato
Rast,Rast,IgE Specifiche /70,10.00,70,sez. Varelli,privato
F208,F208,IgE Specifiche- F208 LIMONE /70,10.00,70,sez. Varelli,privato
Immunocomp,Immunocomp,Immunocomplessi Circolanti /70,16.00,70,sez. Varelli,privato
IE urine,IE urine,Immunoelettroforesi Proteine Urinarie /70,40.00,70,sez. Varelli,privato
Immunoelet,Immunoelet,Immunoelettroforesi Sierica /70,50.00,70,sez. Varelli,privato
SottoclasG,SottoclasG,Immunoglobuline IgG Sottoclassi /70,40.00,70,sez. Varelli,privato
Indice PHI,Indice PHI,Indice PHI / 70,180.00,70,sez. Varelli,privato
R.O.M.A.,R.O.M.A.,INDICE R.O.M.A. /70,50.00,70,sez. Varelli,privato
Inib B,Inib B,Inibina B /70,50.00,70,sez. Varelli,privato
Iodio U,Iodio U,Iodio Urinario /70,60.00,70,sez. Varelli,privato
Amilasi,Amilasi,Isoenzimi Amilasi /70,30.00,70,sez. Varelli,privato
Istamina,Istamina,Istamina /70,120.00,70,sez. Varelli,privato
Istam. Fec,Istamina Fecale,Istamina Fecale /70,120.00,70,sez. Varelli,privato
Lacosamide,Lacosamide,LACOSAMIDE /70,45.00,70,sez. Varelli,privato
Leve,Leve,Levetiracetam (Keppra) /70,38.00,70,sez. Varelli,privato
LipoA,LipoA,LIPOPROTEINA a /70,20.00,70,sez. Varelli,privato
Liso,Liso,LISOZIMA SIERICO /70,15.00,70,sez. Varelli,privato
Lupus anti,Lupus anti,Lupus Anticoagulant (non usare),20.00,70,NON USARE; sez. Varelli,privato
LAC,LAC,Lupus Anticoagulant (LAC) /70,20.00,70,sez. Varelli,privato
Macroprl,Macroprl,Macroprolattina /70,50.00,70,sez. Varelli,privato
Merc Em,Merc Em,Mercurio Ematico / 70,15.00,70,sez. Varelli,privato
Hg uri,Hg uri,Mercurio Urinario /70,22.00,70,sez. Varelli,privato
Meta pla,Meta pla,METANEFRINE PLASMATICHE /70,50.00,70,sez. Varelli,privato
Meta uri,Meta uri,METANEFRINE URINARIE /70,50.00,70,sez. Varelli,privato
Micopla G,Micopla G,Micoplasma P. IgG /70,20.00,70,sez. Varelli,privato
Micopla M,Micopla M,Micoplasma P. IgM /70,20.00,70,sez. Varelli,privato
Microb,Microb,MICROBIOTA INTESTINALE in PCR / 70,350.00,70,sez. Varelli,privato
Mioglobina,Mioglobina,MIOGLOBINA /70,17.00,70,sez. Varelli,privato
Morbillo g,Morbillo g,Morbillo IgG Abs /70,15.00,70,sez. Varelli,privato
Morbillo m,Morbillo m,Morbillo IgM Abs /70,15.00,70,sez. Varelli,privato
Leiden,Leiden,Mutazione F. V Di Leiden /70,40.00,70,sez. Varelli,privato
H1299R,HR,Mutazione Fatt.V H1299R /70,40.00,70,sez. Varelli,privato
Fatt2,Fatt2,Mutazione Fattore II /70,40.00,70,sez. Varelli,privato
mthfr tot,Mthfr tot,Mutazione MTHFR (C677T - A1298C) /70,80.00,70,sez. Varelli,privato
Nickel,Nickel,NICHEL EMATICO /70,25.00,70,sez. Varelli,privato
Osteoc,Osteoc,Osteocalcina /70,30.00,70,sez. Varelli,privato
Anfos,Anfos,Pannello Ab Anti-Fosfolipidi /70,90.00,70,sez. Varelli,privato
Pan14,Pan14,Pannello Molecolare 14 Patogeni / 70,140.00,70,sez. Varelli,privato
Pan28,Pan28,Pannello Molecolare 28 patogeni / 70,240.00,70,sez. Varelli,privato
7 patogeni,7 patogeni,Pannello Molecolare 7 Patogeni / 70,70.00,70,sez. Varelli,privato
PT6,PT6,Pannello Trombof. 6 Mutaz /70,100.00,70,sez. Varelli,privato
W19,W19,Parietaria Officinalis (W19) /70,13.00,70,sez. Varelli,privato
Parot g,Parot g,Parotite IgG Abs /70,17.00,70,sez. Varelli,privato
Parot m,Parot m,Parotite IgM Abs /70,17.00,70,sez. Varelli,privato
Parvov g,Parvov g,Parvovirus B19 IgG Abs /70,24.00,70,sez. Varelli,privato
Parvov m,Parvov m,Parvovirus B19 IgM Abs /70,24.00,70,sez. Varelli,privato
Pcr HS,Pcr HS,PCR AD ALTA SENSIBILITA` /70,20.00,70,sez. Varelli,privato
PEPSINOG I,PEPSINOGENO I,PEPSINOGENO I / 70,30.00,70,sez. Varelli,privato
PEPSINO II,PEPSINOGENO I,PEPSINOGENO II / 70,30.00,70,sez. Varelli,privato
Pb uri,Pb uri,Piombo Uriunario /70,25.00,70,sez. Varelli,privato
Piruvato K,Piruvato K,Piruvato Kinasi Eritrocitaria /70,40.00,70,sez. Varelli,privato
Plgf precl,Plgf precl,PLGF (Test Pre-Eclampsia) /70,50.00,70,sez. Varelli,privato
CYP2C19,CYP2C19,POLIMORFISMO CYP2C19 /70,180.00,70,sez. Varelli,privato
S100B,S100,Proteina S-100 /70,35.00,70,sez. Varelli,privato
Quan,Quan,Quantiferon / 70,120.00,70,sez. Varelli,privato
Rcor8,Rcor8,rCor a8 Nocciola - LTP /70,37.00,70,sez. Varelli,privato
